playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Recent Tracks,Stargirl Interlude,https://open.spotify.com/track/5gDWsRxpJ2lZAffh5p7K0w,The Weeknd,Starboy,2016,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Prisoner': 'The Weeknd'}, {'Party Monster': 'The Weeknd'}, {'Stargirl Interlude': 'The Weeknd, Lana Del Rey'}]"
Recent Tracks,Beanie,https://open.spotify.com/track/5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,2023,https://i.scdn.co/image/ab67616d0000b273c16d7b73bd1445e941588b73,"['chillout', 'indie', 'alternative']",857277,"[{'Romantic Homicide': 'd4vd'}, {'Worldstar Money (Interlude)': 'Joji'}, {'Intermission': 'Strawberry Guy'}]"
Recent Tracks,Wake Me Up (feat. Justice),https://open.spotify.com/track/5ehXToeJ8Tgc4wMhY42Oul,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Recent Tracks,NUMB,https://open.spotify.com/track/01TnVDiet1DFTsyWKUKovl,XXXTENTACION,?,2018,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,"['Hip-Hop', 'rap', 'cloud rap']",2610125,"[{'the remedy for a broken heart (why am i so in love)': 'XXXTENTACION'}, {'ALONE, PART 3': 'XXXTENTACION'}, {'Broken': 'lund'}]"
Recent Tracks,lovely,https://open.spotify.com/track/3az62jBzapcmY6WHtgv955,Billie Eilish,Lonely Nights,2021,https://i.scdn.co/image/ab67616d0000b27327ab9cd76df0ad08e2ac15ec,"['pop', 'indie pop', 'electropop']",3905869,"[{'ocean eyes': 'Billie Eilish'}, {'COPYCAT': 'Billie Eilish'}, {'Enemy': 'Imagine Dragons'}]"
Recent Tracks,Can't Get You out of My Head,https://open.spotify.com/track/3E7ZwUMJFqpsDOJzEkBrQ7,Kylie Minogue,Fever,2001,https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048,"['pop', 'dance', 'female vocalists']",3384696,"[{'In Your Eyes': 'Kylie Minogue'}, {'Love at First Sight': 'Kylie Minogue'}, {'Hung Up': 'Madonna'}]"
Recent Tracks,heatwave,https://open.spotify.com/track/5fIbQpd17IgGTk3qthaXMb,potsu,just friends,2018,https://i.scdn.co/image/ab67616d0000b2736dbfd591e84343b526f30548,"['nu jazz', 'Lo-Fi', 'jazz']",696850,"[{'drowsy': 'potsu'}, {'bird': 'potsu'}, {'Lavender': 'Kudasaibeats'}]"
Recent Tracks,Un couché de soleil accroché par les arbres,https://open.spotify.com/track/4ftmAcgZRmcSGTlnVNOEw7,Gabriel Yared,37°2 le matin (Original Motion Picture Soundtrack),2006,https://i.scdn.co/image/ab67616d0000b27381b87184bbefb3d1c277aa16,"['Soundtrack', 'instrumental', 'Classical']",313194,"[{'Le cœur en skaï mauve': 'Gabriel Yared'}, {'Le singe bleu - Remastered': 'Vangelis'}, {'Love Theme From Twin Peaks - Instrumental': 'Angelo Badalamenti'}]"
Recent Tracks,Zodiac,https://open.spotify.com/track/2Ayjy9WdAdcEmBPo44dTgk,Justice Der,Zodiac,2020,https://i.scdn.co/image/ab67616d0000b27357c261cd23ab6c959d934870,"['instrumental', 'bedroom pop', 'easy listening']",116611,[]
Recent Tracks,Inside Out,https://open.spotify.com/track/6WlmEymaXKMRs3D2c4j6os,Duster,Stratosphere,1998,https://i.scdn.co/image/ab67616d0000b2732241587c8ce3d9051f4d4f74,"['slowcore', 'space rock', 'shoegaze']",1479614,"[{'Constellations': 'Duster'}, {'Topical Solution': 'Duster'}, {'Better': 'sign crushes motorist'}]"
