playlist,name,name_url,artist,album,year,album_art,genres,playcount,similar_songs
Top Tracks,Veridis Quo,https://open.spotify.com/track/2LD2gT7gwAurzdQDQtILds,Daft Punk,Discovery,2001,https://i.scdn.co/image/ab67616d0000b2732c25dad9f8fd54652f7ba5df,"['electronic', 'House', 'dance']",6023605,"[{'Something About Us': 'Daft Punk'}, {'Aerodynamic': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,BURN,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,¥$,VULTURES 1,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,"['Hip-Hop', 'rap', 'hip hop']",1353515,"[{'PROBLEMATIC': '¥$'}, {'HOODRAT': '¥$'}, {'True Love': 'Kanye West'}]"
Top Tracks,High For This,https://open.spotify.com/track/2ye9iWj5V4g6k6HFeTTAKa,The Weeknd,House Of Balloons (Original),2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Loft Music': 'The Weeknd'}, {'The Knowing': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,Instant Crush (feat. Julian Casablancas),https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,Daft Punk,Random Access Memories,2013,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,"['electronic', 'House', 'dance']",6023605,"[{'Lose Yourself to Dance (feat. Pharrell Williams)': 'Daft Punk'}, {'Touch (feat. Paul Williams)': 'Daft Punk'}, {'On Melancholy Hill': 'Gorillaz'}]"
Top Tracks,End of Line,https://open.spotify.com/track/09TlxralXOGX35LUutvw7I,Daft Punk,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),2010,https://i.scdn.co/image/ab67616d0000b2738323143296ff7b2801e32789,"['electronic', 'House', 'dance']",6023605,"[{'Derezzed': 'Daft Punk'}, {'Arena': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,Wake Me Up (feat. Justice),https://open.spotify.com/track/5ehXToeJ8Tgc4wMhY42Oul,The Weeknd,Hurry Up Tomorrow,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,"['rnb', 'electronic', 'dubstep']",4957251,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Top Tracks,All My Heroes,https://open.spotify.com/track/4bnl1QmJKze0f0KptEJDdp,Naeleck,All My Heroes,2020,https://i.scdn.co/image/ab67616d0000b273f626d2b6241902732b75bf0e,"['electro', 'french', 'electronic']",439174,"[{'Pacific Coast Highway': 'Fukkk Offf'}, {'Mental Express': 'Cyberpunkers'}, {'Heroes': 'Naeleck'}]"
Top Tracks,Nein!,https://open.spotify.com/track/4IRk0nB8LDQYosqv1qJYio,AYLIVA,In Liebe,2024,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,"['pop', 'german', 'deutschland']",86225,"[{'Traum': 'AYLIVA'}, {'Beifahrer': 'AYLIVA'}, {'It Girl (feat. Sampagne)': 'Shirin David'}]"
Top Tracks,Sweater Weather,https://open.spotify.com/track/0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,I Love You.,2013,https://i.scdn.co/image/ab67616d0000b273c91ed3bc3c8d484f532fab2f,"['indie', 'indie rock', 'indie pop']",3619305,"[{'Afraid': 'The Neighbourhood'}, {'505': 'Arctic Monkeys'}, {'Do I Wanna Know?': 'Arctic Monkeys'}]"
Top Tracks,"Girl, so confusing featuring lorde",https://open.spotify.com/track/7srqyRb5plksW5k65itXDB,Charli xcx,Brat and it’s completely different but also still brat,2024,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47,"['pop', 'synthpop', 'electronic']",3463243,[]
