playlist,name,name_url,artist,album,year,album_art,genres,playcount
Hall of fame,Physical,https://open.spotify.com/track/5FFAqdNj7SAzVCOpPp3QZI,Olivia Newton-John,Good Luck Chuck (Original Motion Picture Soundtrack),2007,https://i.scdn.co/image/ab67616d0000b27367033f7c78747207f001d489,"['pop', 'female vocalists', '70s']",1188637
Hall of fame,Just the Two of Us (feat. Bill Withers),https://open.spotify.com/track/1ko2lVN0vKGUl9zrU0qSlT,"Grover Washington, Jr.",Anthology,1985,https://i.scdn.co/image/ab67616d0000b273472fbc1d5743c7d3c75b9ec0,"['jazz', 'Smooth Jazz', 'saxophone']",1162440
Hall of fame,"What Is Love - 7"" Mix",https://open.spotify.com/track/0OTO8ZF2YqFQVw9hnZylTd,Haddaway,The Album,1993,https://i.scdn.co/image/ab67616d0000b273efb3fd949c71bc9b5e7b31dc,"['dance', 'eurodance', '90s']",1546482
Hall of fame,Pedro,https://open.spotify.com/track/7AEfPUY8gHoEzQja4OOO49,Raffaella Carrà,Mi spendo tutto,1980,https://i.scdn.co/image/ab67616d0000b27343cd140ef706ad2eec17d514,"['italian', 'pop', '70s']",167796
Hall of fame,Somebody to Love,https://open.spotify.com/track/4uGIJG1jYFonGc4LGp5uQL,Jefferson Airplane,Surrealistic Pillow,1967,https://i.scdn.co/image/ab67616d0000b2736a74089537c2dbd548c4a95e,"['Psychedelic Rock', 'classic rock', '60s']",2279469
Hall of fame,Running Up That Hill (A Deal With God),https://open.spotify.com/track/75FEaRjZTKLhTrFGsfMUXR,Kate Bush,Hounds Of Love,1985,https://i.scdn.co/image/ab67616d0000b27396ab64f52273635308b6bf27,"['female vocalists', 'singer-songwriter', 'pop']",3138014
Hall of fame,Thé à la menthe (The Lazer Dance Version) [Instrumental],https://open.spotify.com/track/126HWk9JuCt4PHZJAAsgOv,La Caution,Peines de Maures / Arc-en-ciel pour daltoniens (Instrumental Version),2005,https://i.scdn.co/image/ab67616d0000b273d3ddd4361d835095a06a70bf,"['Hip-Hop', 'rap', 'french']",139158
Hall of fame,California Dreamin' - Single Version,https://open.spotify.com/track/4s6LhHAV5SEsOV0lC2tjvJ,The Mamas & The Papas,If You Can Believe Your Eyes & Ears,1966,https://i.scdn.co/image/ab67616d0000b27308181b9f840a06e7a071cf72,[],0
Hall of fame,Cheri Cheri Lady,https://open.spotify.com/track/2aEuA8PSqLa17Y4hKPj5rr,Modern Talking,Let's Talk About Love,1985,https://i.scdn.co/image/ab67616d0000b273aedd9728f5cc4b13ee49e061,"['80s', 'Disco', 'pop']",1229256
Hall of fame,Brother Louie,https://open.spotify.com/track/5zWZ9iNevP0397xB3jWV2z,Modern Talking,Ready For Romance,1986,https://i.scdn.co/image/ab67616d0000b273be1421122cef4940f500ac06,"['80s', 'Disco', 'pop']",1229256
Hall of fame,"You're My Heart, You're My Soul",https://open.spotify.com/track/0Zn63G0XTiqXwr1KSmARWz,Modern Talking,The First & Second Album (30th Anniversary Edition),1985,https://i.scdn.co/image/ab67616d0000b27399aab0b95eb4bb1e7e24c795,"['80s', 'Disco', 'pop']",1229256
Hall of fame,Lady - Hear Me Tonight,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6,Modjo,Modjo (Remastered),2001,https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7,"['House', 'electronic', 'dance']",1429638
Hall of fame,Blue Monday,https://open.spotify.com/track/6hHc7Pks7wtBIW8Z6A0iFq,New Order,Substance,1987,https://i.scdn.co/image/ab67616d0000b2733c182241fcd86aeca2c68a63,"['new wave', 'post-punk', 'electronic']",3026797
Hall of fame,Add It Up,https://open.spotify.com/track/61QW3AcU1jm5ttPOn8eZhn,Violent Femmes,Violent Femmes,1983,https://i.scdn.co/image/ab67616d0000b27354096a7f898de0233d76f626,"['alternative', 'alternative rock', 'indie']",1537441
Hall of fame,Last Christmas,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Wham!,LAST CHRISTMAS,1984,https://i.scdn.co/image/ab67616d0000b273f2d2adaa21ad616df6241e7d,"['pop', '80s', 'new wave']",3000836
Hall of fame,Kill the Pain,https://open.spotify.com/track/5TMj9sVkboOwxLhoeEq2k6,Accept,Blood of the Nations,2010,https://i.scdn.co/image/ab67616d0000b27339bcae6f92f8ba8941dc2fb1,"['heavy metal', 'hard rock', 'german']",704244
Hall of fame,Dream On,https://open.spotify.com/track/1xsYj84j7hUDDnTTerGWlH,Aerosmith,Aerosmith,1973,https://i.scdn.co/image/ab67616d0000b273bbf0146981704a073405b6c2,"['hard rock', 'classic rock', 'rock']",4539152
Hall of fame,Walk This Way,https://open.spotify.com/track/4JfuiOWlWCkjP6OKurHjSn,Aerosmith,Toys In The Attic,1975,https://i.scdn.co/image/ab67616d0000b2738cffbbb7fe8645a486a85ea9,"['hard rock', 'classic rock', 'rock']",4539152
Hall of fame,I Want to Know What Love Is - 1999 Remaster,https://open.spotify.com/track/1JLn8RhQzHz3qDqsChcmBl,Foreigner,Agent Provocateur,1984,https://i.scdn.co/image/ab67616d0000b2733e030a7e606959674643d274,"['classic rock', 'rock', 'hard rock']",2230273
Hall of fame,Enjoy the Silence,https://open.spotify.com/track/6WK9dVrRABMkUXFLNlgWFh,Depeche Mode,The Singles 86-98,1998,https://i.scdn.co/image/ab67616d0000b2730a7d45a345534966a4ad2c39,"['electronic', 'new wave', 'synthpop']",4241481
Hall of fame,Left Outside Alone,https://open.spotify.com/track/2uNq2hKb4X1S30hBgoywOF,Anastacia,Pieces of A Dream,1999,https://i.scdn.co/image/ab67616d0000b273ade7496600da316d867dadc1,"['pop', 'female vocalists', 'soul']",1032285
Hall of fame,House Of The Rising Sun,https://open.spotify.com/track/7BY005dacJkbO6EPiOh2wb,The Animals,The Animals,1964,https://i.scdn.co/image/ab67616d0000b2733c534611bd3658006378a2d7,"['classic rock', '60s', 'rock']",2363473
Hall of fame,Everybody (Backstreet's Back) - Radio Edit,https://open.spotify.com/track/4rTeOSYqwXNz5qPR2DUTFZ,Backstreet Boys,This Is The End: Original Motion Picture Soundtrack,2013,https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8,"['pop', 'boybands', '90s']",2875730
