playlist,name,name_url,artist,artist_url,album,album_url,year,popularity,album_art,genres,similar_songs
Recent Tracks,Phantom Regret by Jim,https://open.spotify.com/track/1NlK2NtpuUazpziLhnJwEV,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Dawn FM,https://open.spotify.com/album/2nLOHgzXzwFEpl62zAgCEC,2022,,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,,"[{'How Do I Make You Love Me?': 'The Weeknd'}, {'Gasoline': 'The Weeknd'}, {'One Of The Girls': 'The Weeknd, JENNIE & Lily Rose Depp'}]"
Recent Tracks,CAN'T SAY,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,ASTROWORLD,https://open.spotify.com/album/41GuZcammIkupMPKH2OJ6I,2018,,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,,"[{'WHO? WHAT!': 'Travis Scott'}, {'BUTTERFLY EFFECT': 'Travis Scott'}, {'Pick up the Phone': 'Young Thug'}]"
Recent Tracks,Kill You,https://open.spotify.com/track/55tyosB2p2BRx1yEGG0V80,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,https://open.spotify.com/album/5H0rjI1TW8F2tORPYMJXHJ,2001,,https://i.scdn.co/image/ab67616d0000b27376ac6f4b5e6cda3c7f888ec0,,"[{'Who Knew': 'Eminem'}, {""I'm Back"": 'Eminem'}, {'Purple Pills': 'D12'}]"
Recent Tracks,Forever,https://open.spotify.com/track/5UsLjwBaTHBX4ektWIr4XX,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,Relapse: Refill,https://open.spotify.com/album/7MZzYkbHL9Tk3O6WeD4Z0Z,2009,,https://i.scdn.co/image/ab67616d0000b273506c4cc93e5a6234164125e1,,"[{'No Love': 'Eminem'}, {'Laugh Now Cry Later (feat. Lil Durk)': 'Drake'}, {'Headlines': 'Drake'}]"
Recent Tracks,The Monster,https://open.spotify.com/track/4WgvTITBJbEfCJHguiE7QS,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP2 (Deluxe),https://open.spotify.com/album/6DN7GcZF1HywzrkGN6Eeqk,2013,,https://i.scdn.co/image/ab67616d0000b273c6338d684995af10c2bf0533,,"[{'Love the Way You Lie': 'Eminem'}, {'Not Afraid': 'Eminem'}, {'Stereo Hearts (feat. Adam Levine)': 'Gym Class Heroes'}]"
Recent Tracks,All I Know,https://open.spotify.com/track/0NWqNXBJTpXbkI5rPWNy3p,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Starboy,https://open.spotify.com/album/2ODvWsOgouMbaA5xf0RkJe,2016,,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,,"[{'Attention': 'The Weeknd'}, {'Love to Lay': 'The Weeknd'}, {'Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix': 'Ty Dolla $ign'}]"
Recent Tracks,FUK SUMN,https://open.spotify.com/track/0cbVD7WpHVdHUKwoolzhCZ,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'VULTURES': '¥$'}, {'PROMOTION': '¥$'}, {'Pablo': 'Kanye West'}]"
Recent Tracks,BURN,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'KEYS TO MY LIFE': '¥$'}, {'PROBLEMATIC': '¥$'}, {'Father Stretch My Hands Pt. 1': 'Kanye West'}]"
Recent Tracks,Last Summer Whisper,https://open.spotify.com/track/38LUbz74v3nmP8x0efElw2,Anri,https://open.spotify.com/artist/0xGtOrmB2hnrNRLG3vhpSo,Heaven Beach,https://open.spotify.com/album/74XLaVRIeHY51nuXcC5RuS,1982,,https://i.scdn.co/image/ab67616d0000b273e5cdab693bda0ed0bcffe334,,"[{'Blue Reef': '1986 OMEGA TRIBE'}, {'新・東京ラプソディー': '山下達郎'}, {'Remember Summer Days': '杏里'}]"
Recent Tracks,Good Bye Boogie Dance,https://open.spotify.com/track/5LZja1KAke25BqjsidAcsq,Anri,https://open.spotify.com/artist/0xGtOrmB2hnrNRLG3vhpSo,Bi・Ki・Ni,https://open.spotify.com/album/2ygK2uxtgO5sTZFs3ye1GT,1983,,https://i.scdn.co/image/ab67616d0000b2732deb0d919a11d1ef5e12daae,,"[{'Windy Summer': '杏里'}, {'Shyness Boy': '杏里'}, {'Just a Joke': 'Yurie Kokubu'}]"
