playlist,name,name_url,artist,artist_url,album,album_url,year,album_art,genres,similar_songs
Top Tracks,Veridis Quo,https://open.spotify.com/track/2LD2gT7gwAurzdQDQtILds,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Discovery,https://open.spotify.com/album/2noRn2Aes5aoNVsU6iWThc,2001,https://i.scdn.co/image/ab67616d0000b2732c25dad9f8fd54652f7ba5df,,"[{'Something About Us': 'Daft Punk'}, {'Nightvision': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,BURN,https://open.spotify.com/track/7BPadP3q9qwMkho3IMPU99,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'KEYS TO MY LIFE': '¥$'}, {'PROBLEMATIC': '¥$'}, {'Father Stretch My Hands Pt. 1': 'Kanye West'}]"
Top Tracks,High For This,https://open.spotify.com/track/2ye9iWj5V4g6k6HFeTTAKa,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,House Of Balloons (Original),https://open.spotify.com/album/7zCODUHkfuRxsUjtuzNqbd,2011,https://i.scdn.co/image/ab67616d0000b273274b406a7e18acebcf743079,,"[{'Loft Music': 'The Weeknd'}, {'What You Need': 'The Weeknd'}, {'Dreamin': 'PARTYNEXTDOOR'}]"
Top Tracks,Instant Crush (feat. Julian Casablancas),https://open.spotify.com/track/2cGxRwrMyEAp8dEbuZaVv6,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Random Access Memories,https://open.spotify.com/album/4m2880jivSbbyEGAKfITCa,2013,https://i.scdn.co/image/ab67616d0000b2739b9b36b0e22870b9f542d937,,"[{'Lose Yourself to Dance (feat. Pharrell Williams)': 'Daft Punk'}, {'Touch (feat. Paul Williams)': 'Daft Punk'}, {'On Melancholy Hill': 'Gorillaz'}]"
Top Tracks,End of Line,https://open.spotify.com/track/09TlxralXOGX35LUutvw7I,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),https://open.spotify.com/album/3AMXFnwHWXCvNr5NCCpLZI,2010,https://i.scdn.co/image/ab67616d0000b2738323143296ff7b2801e32789,,"[{'Derezzed': 'Daft Punk'}, {'Arena': 'Daft Punk'}, {'Genesis': 'Justice'}]"
Top Tracks,Wake Me Up (feat. Justice),https://open.spotify.com/track/5ehXToeJ8Tgc4wMhY42Oul,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,Hurry Up Tomorrow,https://open.spotify.com/album/6iyZdOoujtOwiThdAUI8TM,2025,https://i.scdn.co/image/ab67616d0000b2734aa8b835e86c68b78ee147d6,,"[{'Big Sleep (feat. Giorgio Moroder)': 'The Weeknd'}, {'Enjoy The Show (feat. Future)': 'The Weeknd'}, {'Apple': 'Charli XCX'}]"
Top Tracks,Nein!,https://open.spotify.com/track/4IRk0nB8LDQYosqv1qJYio,AYLIVA,https://open.spotify.com/artist/2rEVnwCPBeGkWMv425KoG1,In Liebe,https://open.spotify.com/album/3cB6tCOD8fqXuYwbpcrcdV,2024,https://i.scdn.co/image/ab67616d0000b2738bdf6a4309ec137eeb64befc,,"[{'Traum': 'AYLIVA'}, {'Beifahrer': 'AYLIVA'}, {'It Girl (feat. Sampagne)': 'Shirin David'}]"
Top Tracks,"Girl, so confusing featuring lorde",https://open.spotify.com/track/7srqyRb5plksW5k65itXDB,Charli xcx,https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5,Brat and it’s completely different but also still brat,https://open.spotify.com/album/36P07bti6xD99o7S1acmin,2024,https://i.scdn.co/image/ab67616d0000b27355a1e72ba425c60a02a9bb47,,[]
Top Tracks,Sunshine & Rain...,https://open.spotify.com/track/7lj0vXLgWbyB0BvCsk22hn,Kali Uchis,https://open.spotify.com/artist/1U1el3k54VvEUzo3ybLPlM,"Sincerely,",https://open.spotify.com/album/2XhNukk6jDysbSRL7VsqYb,2025,https://i.scdn.co/image/ab67616d0000b273a7493f1985f820a9add223d2,,[]
Top Tracks,To the Wilder,https://open.spotify.com/track/5xjkxF6sKG9ANZuicTXWVm,Woodkid,https://open.spotify.com/artist/44TGR1CzjKBxSHsSEy7bi9,WOODKID FOR DEATH STRANDING 2: ON THE BEACH,https://open.spotify.com/album/11Bzc0HtyaDwu6bT07poOx,2025,https://i.scdn.co/image/ab67616d0000b2732361954469d930bd28556a16,,"[{'Are You There': 'Woodkid'}, {'Story of Rainy': 'Woodkid'}, {'The Line (from the series Arcane League of Legends)': 'twenty one pilots'}]"
Top Tracks,FUK SUMN,https://open.spotify.com/track/0cbVD7WpHVdHUKwoolzhCZ,¥$,https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv,VULTURES 1,https://open.spotify.com/album/4DOsPwJtokv6HEifZ6t5j6,2024,https://i.scdn.co/image/ab67616d0000b2739c654f315df05ae7c6ec8980,,"[{'VULTURES': '¥$'}, {'PROMOTION': '¥$'}, {'Pablo': 'Kanye West'}]"
