playlist,name,name_url,artist,artist_url,album,album_url,year,popularity,album_art,genres,playcount
TOKYO DISTRICT,ラヴァーズ,https://open.spotify.com/track/75SKlkZrcOX32dseIE8l4O,7!!,https://open.spotify.com/artist/3rJbSZv98yyWLNOvD6MsAV,Anipps,https://open.spotify.com/album/0NKEEfX8UYMyvmL6dVDae1,2011,,https://i.scdn.co/image/ab67616d0000b2733dfa792536844032b9561aea,"['j-pop', 'japanese', 'pop']",150163
TOKYO DISTRICT,It's Good to See You Again!!,https://open.spotify.com/track/6LjEAMtB3INMAeUqyHnE2F,Adrianwave,https://open.spotify.com/artist/062uQ72ll9bM17kdNwzFaw,Take Care of Yourself,https://open.spotify.com/album/49Uf7IcxSbxYcigvSfD29U,2016,,https://i.scdn.co/image/ab67616d0000b2739eae675024d9c6d0fe9f31bf,"['electronic', 'japanese', 'future funk']",37198
TOKYO DISTRICT,カラノココロ,https://open.spotify.com/track/2UnrCmVUqwkT7sV1S3vd4W,Anly,https://open.spotify.com/artist/5yJK9kmUG5wPAPDfaaandz,Karano Kokoro - EP,https://open.spotify.com/album/3MiOzI31gAENr08W5df0eW,2017,,https://i.scdn.co/image/ab67616d0000b2732245129a7a620bd01189c6c7,"['j-pop', 'Okinawa', 'female vocalist']",59077
TOKYO DISTRICT,Blue Bird (Naruto Shippuden),https://open.spotify.com/track/2vj8P04EKqI4762sraf4Xz,Berioska,https://open.spotify.com/artist/47bagukDdx1Oqq6aL9JlwE,Blue Bird (Naruto Shippuden),https://open.spotify.com/album/4Caa9JzUrseFMhx92PegW6,2020,,https://i.scdn.co/image/ab67616d0000b2739d16fba2135d77dc8e696616,"['peruvian', 'Peru']",43851
TOKYO DISTRICT,R★O★C★K★S（第1話）,https://open.spotify.com/track/1f8ch3PL2X10XbFByyR2Ve,Biccurry Akatsuka,https://open.spotify.com/artist/0IMJNHW20EcB0WuwRhoOjy,熱烈！アニソン魂 THE BEST カバー楽曲集 TVアニメシリーズ「NARUTO -ナルト-」vol.3 少年編 第1話～第99話 主題歌OP 編,https://open.spotify.com/album/1JDdzBDFRvSbNg8sikr4vp,2014,,https://i.scdn.co/image/ab67616d0000b2730d9abfb5f3d8a7f7d771f1aa,[],19814
TOKYO DISTRICT,Sunset (2019 Y.Nakamura Remastering),https://open.spotify.com/track/4bl01VfwS3MMiChtTZSZGG,Blu-Swing,https://open.spotify.com/artist/3dKCIyXK94LWUnyvD8LepD,BLU-SWING 10th ANNIVERSARY BEST,https://open.spotify.com/album/4G6wQH5Q3PiZ63ICMI5WqT,2019,,https://i.scdn.co/image/ab67616d0000b273438c2e8921907ec978e5354e,"['jazz', 'japanese', 'soul']",99872
TOKYO DISTRICT,満ちていく体温,https://open.spotify.com/track/5KyhlyyCgQoL7eP7v1TehN,Blu-Swing,https://open.spotify.com/artist/3dKCIyXK94LWUnyvD8LepD,BLU-SWING 10th ANNIVERSARY BEST,https://open.spotify.com/album/4G6wQH5Q3PiZ63ICMI5WqT,2019,,https://i.scdn.co/image/ab67616d0000b273438c2e8921907ec978e5354e,"['jazz', 'japanese', 'soul']",99872
TOKYO DISTRICT,Good Bye Boogie Dance,https://open.spotify.com/track/5LZja1KAke25BqjsidAcsq,Anri,https://open.spotify.com/artist/0xGtOrmB2hnrNRLG3vhpSo,Bi・Ki・Ni,https://open.spotify.com/album/2ygK2uxtgO5sTZFs3ye1GT,1983,,https://i.scdn.co/image/ab67616d0000b2732deb0d919a11d1ef5e12daae,[],611134
TOKYO DISTRICT,Last Summer Whisper,https://open.spotify.com/track/38LUbz74v3nmP8x0efElw2,Anri,https://open.spotify.com/artist/0xGtOrmB2hnrNRLG3vhpSo,Heaven Beach,https://open.spotify.com/album/74XLaVRIeHY51nuXcC5RuS,1982,,https://i.scdn.co/image/ab67616d0000b273e5cdab693bda0ed0bcffe334,[],611134
TOKYO DISTRICT,WINDY SUMMER,https://open.spotify.com/track/7fgmo2cHGzWLexkRhBeECj,Anri,https://open.spotify.com/artist/0xGtOrmB2hnrNRLG3vhpSo,Timely!!,https://open.spotify.com/album/3OvZYx7AAGplmJjwD29JiV,1983,,https://i.scdn.co/image/ab67616d0000b273cfd93d36fe2365f9436587d1,[],611134
